id,nome_completo,cpf,identidade,sexo,data_nascimento,idade,email,telefone_principal,telefone_secundario,pais,estado,cidade,cep,endereco,numero,complemento,bairro,data_cadastro,status,tipo_cliente,ultima_compra,valor_total_compras,categoria_favorita,newsletter
1,James Hager,795.630.717-10,61.129.717-8,M,28/09/1974,50,james.hager@hotmail.com,(61) 95529-5738,(91) 91003-1462,Brasil,ES,Vila Velha,71546433,Condomínio Fernandes,8722,Casa 2,Aarão Reis,08/05/2012,Inativo,Regular,22/11/2023,41405.62,Casa,Não
2,Yolanda Matthews,156.946.005-10,26.491.751-7,F,14/09/1971,54,yolanda.matthews@yahoo.com.br,(21) 95602-8623,(61) 94886-2741,Brasil,MA,Timon,27179-707,Trecho Fonseca,5009,,Glória,11/11/2012,Inativo,Novo,03/05/2024,21127.33,Beleza,Sim
3,Thaddeus Tellez,703.261.631-30,84.186.267-2,M,28/07/1967,58,thaddeus.tellez@hotmail.com,(41) 99350-9072,(31) 98933-7142,Brasil,AL,Arapiraca,95586-798,Alameda de Rodrigues,5994,Casa 2,Vila Novo São Lucas,26/04/2020,Inativo,Premium,29/12/2024,21633.92,Casa,Sim
4,Lori Young,586.158.593-80,01.290.275-4,F,31/10/1963,61,lori.young@hotmail.com,(11) 92586-8607,(91) 93158-9439,Brasil,PI,Picos,47227953,Feira de da Luz,2523,,Aguas Claras,03/09/2001,Pendente,Novo,,40373.88,Roupas,Sim
5,Jacqueline Gruis,321.927.758-60,40.353.159-8,F,26/08/1974,51,jacqueline.gruis@gmail.com,(81) 94684-7606,,Brasil,CE,Juazeiro do Norte,43079907,Vereda de Correia,3803,Sala 303,Granja Werneck,14/07/2006,Inativo,Novo,09/07/2024,42264.95,Beleza,Não
6,Donna Johnson,207.276.332-00,63.401.631-4,F,20/11/1948,76,donna.johnson@gmail.com,(21) 93989-9805,(81) 93232-8105,Brasil,PA,Belém,63468847,Viaduto Pietra Pereira,7028,Casa 2,Caiçaras,01/07/1989,Pendente,Premium,16/12/2023,11962.39,Beleza,Não
7,Florence Bingham,219.012.266-00,66.160.445-2,F,15/02/2000,25,florence.bingham@outlook.com,(41) 99958-1672,(21) 93276-3389,Brasil,AL,Maceió,97605-157,Vale Benjamin Rocha,6689,,Custodinha,30/09/2022,Pendente,Regular,,23879.74,Casa,Sim
8,Derrick Dickens,602.646.044-60,08.732.987-7,M,11/01/1949,76,derrick.dickens@yahoo.com.br,(41) 91492-1672,,Brasil,DF,Brasília,81719263,Via Yuri Cirino,2864,Bloco B,Madri,27/05/2007,Ativo,VIP,26/09/2024,21829.82,Roupas,Não
9,Lucia Mcdougall,263.549.452-50,41.901.020-4,F,11/04/1949,76,lucia.mcdougall@hotmail.com,(51) 91978-1451,(31) 93947-0464,Brasil,RN,Parnamirim,97961-991,Largo de Andrade,657,,Vila Bandeirantes,29/12/1976,Ativo,Novo,09/02/2024,23406.38,Beleza,Não
10,Christina Klein,804.938.194-30,48.243.195-9,F,01/02/1989,36,christina.klein@bol.com.br,(81) 90287-2195,(11) 91412-1958,Brasil,SE,Lagarto,81809531,Alameda Davi Luiz Nogueira,6496,Bloco B,Serra Do Curral,08/02/2024,Pendente,VIP,25/09/2025,19688.28,Livros,Não
11,Neil Hale,416.510.857-00,54.810.391-8,M,08/09/1949,76,neil.hale@gmail.com,(81) 91105-6454,(71) 96441-7730,Brasil,GO,Goiânia,84999-151,Loteamento Raquel Lopes,1833,Casa 2,Marmiteiros,21/05/2005,Pendente,VIP,21/02/2024,6483.55,Eletrônicos,Não
12,Peggy Maas,536.173.115-30,03.104.077-2,F,20/07/2005,20,peggy.maas@bol.com.br,(31) 90026-7196,,Brasil,PI,Teresina,58295-751,Sítio Anna Liz Aragão,1596,Apto 101,Jardim Montanhês,15/07/2025,Inativo,Regular,14/09/2025,23656.73,Eletrônicos,Não
13,Alfred Fischer,730.518.514-00,38.729.765-3,M,01/01/1946,79,alfred.fischer@hotmail.com,(91) 96444-2218,(71) 97701-9424,Brasil,AM,Parintins,45240375,Feira Pedro Henrique Pereira,4341,Casa 2,Minas Caixa,31/05/2020,Pendente,Premium,29/02/2024,13370.13,Esportes,Sim
14,Joseph Hallowell,356.229.082-90,14.343.487-2,M,28/04/1992,33,joseph.hallowell@bol.com.br,(41) 90477-2766,(21) 94084-1467,Brasil,MT,Cuiabá,68110-066,Estrada Azevedo,6660,Casa 2,Jardim Montanhês,24/06/2019,Ativo,Premium,14/07/2024,21290.48,Beleza,Sim
15,Lester Greigo,301.702.666-30,73.530.954-7,M,15/07/1996,29,lester.greigo@outlook.com,(71) 99994-8619,(61) 91410-9880,Brasil,SP,Campinas,78261-003,Trevo Maitê Brito,6932,Casa 2,Carmo,15/03/2025,Pendente,VIP,05/07/2025,39274.24,Livros,Sim
