hóspede_id,nome,data_nascimento,sexo,nacionalidade,tipo_cliente,email,telefone
1,James Shaw,1966-08-05,M,Itália,Corporativo,james.shaw@outlook.com,+39 999 220 2414
2,Amit Patel,1975-04-05,M,Índia,Novo,amit.patel@gmail.com,+91 22667 27499
3,Robert Thornton,1980-11-20,M,Estados Unidos,VIP,robert.thornton@gmail.com,+1 (394) 148-5369
4,Martha Wilkinson,1970-08-30,F,Brasil,Recorrente,martha.wilkinson@hotmail.com,+55 (50) 90038-6077
5,Wilfredo Locke,1965-03-23,M,Alemanha,Novo,wilfredo.locke@gmail.com,+49 7649 7144
6,Anita Patel,2002-04-06,F,Índia,Novo,anita.patel@outlook.com,+91 58183 48157
7,Ronald Carraway,1952-01-28,M,Estados Unidos,VIP,ronald.carraway@outlook.com,+1 (411) 748-5808
8,James Schuld,1955-01-02,M,Alemanha,Corporativo,james.schuld@yahoo.de,+49 5066 8446
9,Sanjay Sharma,1988-07-17,M,Índia,Corporativo,sanjay.sharma@gmail.com,+91 44049 76545
10,Kasi Cannon,1985-06-06,F,França,Novo,kasi.cannon@gmail.com,+33 3 83 21 77 87
11,Stephanie Kaiser,2004-01-24,F,África do Sul,Novo,stephanie.kaiser@outlook.com,+27 33 746 8949
12,Albert Buchmann,1995-10-28,M,Austrália,Corporativo,albert.buchmann@outlook.com,+61 7 6791 6051
13,Madge Pennisi,1996-08-29,F,Colômbia,Corporativo,madge.pennisi@outlook.com,+57 961 547 0947
14,Arjun Patel,1972-01-13,M,Índia,Recorrente,arjun.patel@gmail.com,+91 15550 86176
15,Michael Doughtie,1964-12-10,M,Peru,VIP,michael.doughtie@outlook.com,+51 555 670 496
16,Mark Deakins,2006-03-28,M,Japão,Premium,mark.deakins@gmail.com,+81 80 9506 5675
17,Kyle Ramirez,2004-05-27,M,México,Corporativo,kyle.ramirez@yahoo.com,+52 076 634 4833
18,Michael Murphy,1973-12-24,M,Rússia,Premium,michael.murphy@yahoo.com,+7 730 424-44-27
19,Janet Kim,1949-12-08,F,México,Novo,janet.kim@gmail.com,+52 635 810 6904
20,Kathleen Watkins,1975-07-17,F,China,Novo,kathleen.watkins@gmail.com,+86 218 9931 8699
21,Nicky Flowers,1997-09-29,M,Espanha,VIP,nicky.flowers@hotmail.es,+34 988 855 332
22,Wayne Hauff,1987-03-13,M,Itália,Premium,wayne.hauff@outlook.com,+39 172 363 0412
23,Heather Marcotte,1970-06-28,F,México,Recorrente,heather.marcotte@gmail.com,+52 246 552 4139
24,Retha Eakin,1983-03-24,F,Chile,Corporativo,retha.eakin@yahoo.com,+56 6 0059 8036
25,Miguel Silva,2007-02-22,M,Portugal,Premium,miguel.silva@gmail.com,+351 95611 0998
26,Priya Singh,1989-03-22,F,Índia,Recorrente,priya.singh@outlook.com,+91 75867 62052
27,Robert Long,1968-10-28,M,Estados Unidos,Corporativo,robert.long@gmail.com,+1 (665) 593-8012
28,Lucy Smith,1982-07-28,F,Uruguai,Novo,lucy.smith@gmail.com,+598 3 670 67 73
29,Amit Kumar,1993-02-15,M,Índia,Premium,amit.kumar@yahoo.com,+91 16344 08734
30,Nancy Martine,1968-12-04,F,Chile,Recorrente,nancy.martine@gmail.com,+56 3 5978 8951
31,David Coleman,1981-01-30,M,China,VIP,david.coleman@gmail.com,+86 873 7734 5320
32,Catarina Santos,1999-03-25,F,Portugal,Corporativo,catarina.santos@gmail.com,+351 08986 7506
33,Glenn Salazar,1949-09-28,M,Argentina,Premium,glenn.salazar@yahoo.com,+54 (74) 6721-5667
34,Anita Gupta,1959-09-02,F,Índia,Novo,anita.gupta@outlook.com,+91 43937 10411
35,Linda Riley,1975-06-09,F,Alemanha,Corporativo,linda.riley@web.de,+49 7794 2380
36,David Tovar,1983-10-08,M,Estados Unidos,Recorrente,david.tovar@gmail.com,+1 (140) 227-7574
37,Norma Simpson,1988-10-25,F,Uruguai,Corporativo,norma.simpson@yahoo.com,+598 2 860 97 82
38,Raj Sharma,1986-08-05,M,Índia,Premium,raj.sharma@outlook.com,+91 08471 68462
39,Regina Clarke,1950-08-13,F,Brasil,Recorrente,regina.clarke@yahoo.com.br,+55 (31) 92931-3075
40,Laurie Anderson,1976-03-24,F,Chile,Premium,laurie.anderson@yahoo.com,+56 1 6613 6222
41,Lucile East,1999-08-29,F,Itália,Novo,lucile.east@gmail.com,+39 854 556 3033
42,Carolyn Haney,1968-10-04,F,Colômbia,VIP,carolyn.haney@outlook.com,+57 005 055 7722
43,Amy Jones,2000-08-07,F,México,Recorrente,amy.jones@gmail.com,+52 077 508 2405
44,Sofia Costa,1947-05-12,F,Portugal,Premium,sofia.costa@gmail.com,+351 47417 1454
45,Mark Batiste,1995-10-28,M,Chile,Novo,mark.batiste@yahoo.com,+56 1 8602 8995
46,Inês Costa,2003-09-14,F,Portugal,Novo,inês.costa@gmail.com,+351 01848 4980
47,Craig Robinson,1995-09-30,M,Argentina,Recorrente,craig.robinson@outlook.com,+54 (82) 3441-5035
48,Jennie Tan,1950-10-02,F,Chile,Corporativo,jennie.tan@gmail.com,+56 4 1856 0242
49,Mary Sullivan,2002-08-18,F,França,Recorrente,mary.sullivan@outlook.fr,+33 6 60 93 98 56
50,Eric Crim,1957-11-26,M,França,VIP,eric.crim@orange.fr,+33 5 27 49 43 34
51,Robert Livesay,1982-02-11,M,Argentina,Premium,robert.livesay@yahoo.com,+54 (49) 2753-8066
52,Saul Hassett,1946-10-08,M,China,Corporativo,saul.hassett@gmail.com,+86 657 1757 3717
